"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
4587.33,5.80573e+06,82.2138,10.3812,-5.64894,1,0.003,0.0535,-0.00119523,-0.00381664
2528.11,1.72717e+06,173.523,16.0256,-17.6887,1,0.00305,0.0535,-0.00119523,-0.00381664
2597.34,1.90209e+06,65.7394,2.67729,-1.27841,1,0.0031,0.0535,-0.00119523,-0.00381664
3442.12,3.60739e+06,259.361,-8.10602,-20.5415,1,0.00315,0.0535,-0.00119523,-0.00381664
3382.15,3.45439e+06,298.04,29.2324,-31.5716,1,0.0032,0.0535,-0.00119523,-0.00381664
4125.26,4.46428e+06,223.19,13.5646,-16.5768,1,0.00325,0.0535,-0.00119523,-0.00381664
3880.56,4.16505e+06,185.289,12.1482,-10.6678,1,0.0033,0.0535,-0.00119523,-0.00381664
2790.51,2.15941e+06,178.227,-24.0276,-4.38721,1,0.00335,0.0535,-0.00119523,-0.00381664
1572.29,897466,148.425,-20.5007,-2.61115,1,0.0034,0.0535,-0.00119523,-0.00381664
807.31,354052,155.371,-10.0516,-6.81604,1,0.00345,0.0535,-0.00119523,-0.00381664
1091.36,553239,94.546,14.725,-12.5757,1,0.0035,0.0535,-0.00119523,-0.00381664
1354.36,739008,82.6401,16.8542,-7.79754,1,0.00355,0.0535,-0.00119523,-0.00381664
2841.43,2.2109e+06,74.114,11.8911,-4.80006,1,0.0036,0.0535,-0.00119523,-0.00381664
