"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
9098.47,1.01151e+07,577.066,-31.6592,78.4088,1,0.003,0.0535,-0.00180279,0.00150226
5581.92,6.73057e+06,589.167,-58.5764,34.9266,1,0.00305,0.0535,-0.00180279,0.00150226
1270.77,679610,279.814,38.9091,-16.6674,1,0.0031,0.0535,-0.00180279,0.00150226
2090.04,1.28307e+06,240.632,29.0362,21.6209,1,0.00315,0.0535,-0.00180279,0.00150226
4955.13,5.77754e+06,475.005,25.4952,-42.014,1,0.0032,0.0535,-0.00180279,0.00150226
9336.64,1.11796e+07,517.03,-4.59798,50.5847,1,0.00325,0.0535,-0.00180279,0.00150226
12368.2,2.20643e+07,845.548,6.96926,-29.6219,1,0.0033,0.0535,-0.00180279,0.00150226
5447.09,6.61216e+06,480.196,-40.4504,-67.75,1,0.00335,0.0535,-0.00180279,0.00150226
3193.15,3.06078e+06,358.143,-26.7868,43.0323,1,0.0034,0.0535,-0.00180279,0.00150226
9857.75,1.13857e+07,709.127,-46.1025,80.6871,1,0.00345,0.0535,-0.00180279,0.00150226
3206.73,3.2933e+06,253.272,35.2569,22.1063,1,0.0035,0.0535,-0.00180279,0.00150226
3338.75,3.26123e+06,359.649,11.4583,13.0377,1,0.00355,0.0535,-0.00180279,0.00150226
3201.73,3.03695e+06,277.435,4.90949,-0.797767,1,0.0036,0.0535,-0.00180279,0.00150226
