"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
653.317,246856,151.548,-0.960283,4.29451,1,0.003,0.0535,-0.00272149,-0.00121025
4427.38,4.95838e+06,381.375,-12.3029,-40.2743,1,0.00305,0.0535,-0.00272149,-0.00121025
2838.22,2.40952e+06,318.485,-9.86075,11.8316,1,0.0031,0.0535,-0.00272149,-0.00121025
3339.08,3.26339e+06,242.166,13.0325,40.7056,1,0.00315,0.0535,-0.00272149,-0.00121025
3059.09,2.54469e+06,427.599,3.7539,16.5227,1,0.0032,0.0535,-0.00272149,-0.00121025
2466.31,1.77081e+06,265.671,-17.4649,-18.4712,1,0.00325,0.0535,-0.00272149,-0.00121025
1464.28,833002,219.045,-4.54228,-15.1938,1,0.0033,0.0535,-0.00272149,-0.00121025
2029.29,1.30513e+06,218.01,2.74424,-2.62951,1,0.00335,0.0535,-0.00272149,-0.00121025
1676.83,972458,282.406,21.072,16.1039,1,0.0034,0.0535,-0.00272149,-0.00121025
1527.83,937976,178.822,12.1353,-10.5964,1,0.00345,0.0535,-0.00272149,-0.00121025
7398.31,8.49852e+06,522.36,-21.549,-13.9053,1,0.0035,0.0535,-0.00272149,-0.00121025
11897.8,1.92092e+07,755.76,-65.5281,-14.0866,1,0.00355,0.0535,-0.00272149,-0.00121025
13099.1,2.78551e+07,685.237,-54.5559,12.1452,1,0.0036,0.0535,-0.00272149,-0.00121025
