"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
9193.8,1.07973e+07,492.769,11.6744,0.801462,1,0.003,0.0535,-0.00121668,-0.00303893
4156.3,4.72798e+06,404.036,-7.61298,1.34685,1,0.00305,0.0535,-0.00121668,-0.00303893
7614.26,8.65974e+06,443.262,-45.258,41.5879,1,0.0031,0.0535,-0.00121668,-0.00303893
6463.25,7.45078e+06,458.112,-33.1965,-71.5884,1,0.00315,0.0535,-0.00121668,-0.00303893
9322.61,1.06445e+07,692.706,6.09512,-55.8851,1,0.0032,0.0535,-0.00121668,-0.00303893
10616.1,1.37868e+07,628.502,25.5395,-37.3153,1,0.00325,0.0535,-0.00121668,-0.00303893
9554.05,1.12617e+07,617.056,20.1139,-9.52799,1,0.0033,0.0535,-0.00121668,-0.00303893
3662.78,4.17796e+06,431.548,-64.5098,17.8668,1,0.00335,0.0535,-0.00121668,-0.00303893
2558.23,1.79159e+06,379.454,-43.9439,16.6397,1,0.0034,0.0535,-0.00121668,-0.00303893
801.103,349731,228.998,4.082,-11.0398,1,0.00345,0.0535,-0.00121668,-0.00303893
3329.52,3.38137e+06,276.757,51.185,-17.9934,1,0.0035,0.0535,-0.00121668,-0.00303893
4840.93,5.67653e+06,416.37,12.2748,-5.51811,1,0.00355,0.0535,-0.00121668,-0.00303893
9145.04,1.02855e+07,492.596,31.2344,-17.2041,1,0.0036,0.0535,-0.00121668,-0.00303893
