"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
907.963,424913,171.804,-0.53285,13.7035,1,0.003,0.0535,0.00305614,0.00182955
1643.21,965514,247.316,-10.1894,15.4881,1,0.00305,0.0535,0.00305614,0.00182955
2754.61,2.16291e+06,320.876,-12.7202,51.0824,1,0.0031,0.0535,0.00305614,0.00182955
749.585,313869,171.042,7.47035,-2.13839,1,0.00315,0.0535,0.00305614,0.00182955
589.641,202530,165.828,2.75221,1.17727,1,0.0032,0.0535,0.00305614,0.00182955
2007.48,1.33318e+06,207.307,9.38826,-1.68219,1,0.00325,0.0535,0.00305614,0.00182955
2342.52,2.05815e+06,189.666,2.30743,10.4643,1,0.0033,0.0535,0.00305614,0.00182955
3972.57,4.31396e+06,173.061,-11.1404,13.5774,1,0.00335,0.0535,0.00305614,0.00182955
5209.29,6.34461e+06,476.761,22.0142,-9.02887,1,0.0034,0.0535,0.00305614,0.00182955
7690.42,8.50538e+06,569.506,29.4313,27.8518,1,0.00345,0.0535,0.00305614,0.00182955
3868.95,4.32825e+06,341.742,20.2339,-20.2659,1,0.0035,0.0535,0.00305614,0.00182955
10054,1.20538e+07,610.602,13.3869,68.4695,1,0.00355,0.0535,0.00305614,0.00182955
10448.1,1.34762e+07,503.585,25.0595,0.988601,1,0.0036,0.0535,0.00305614,0.00182955
