"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
3492.51,3.69064e+06,434.696,-0.709931,28.816,1,0.003,0.0535,0.00210223,-0.000901058
10781.2,1.39038e+07,795.169,-12.4835,40.3327,1,0.00305,0.0535,0.00210223,-0.000901058
11753.6,1.77066e+07,706.143,107.693,25.114,1,0.0031,0.0535,0.00210223,-0.000901058
3735.08,4.34221e+06,409.41,13.8287,-33.3644,1,0.00315,0.0535,0.00210223,-0.000901058
9606.05,1.11421e+07,705.671,-33.2046,35.3847,1,0.0032,0.0535,0.00210223,-0.000901058
10553.4,1.44802e+07,519.912,-20.6311,-66.6182,1,0.00325,0.0535,0.00210223,-0.000901058
14202.8,4.08073e+07,893.919,-15.3415,-95.5652,1,0.0033,0.0535,0.00210223,-0.000901058
12858,2.56554e+07,760.071,-32.7256,-71.6702,1,0.00335,0.0535,0.00210223,-0.000901058
9536.39,1.08853e+07,665.532,35.4744,28.0952,1,0.0034,0.0535,0.00210223,-0.000901058
3771.18,4.43436e+06,396.046,33.1474,57.1538,1,0.00345,0.0535,0.00210223,-0.000901058
3405.1,3.44246e+06,428.148,12.342,9.28616,1,0.0035,0.0535,0.00210223,-0.000901058
4199.24,4.82939e+06,369.759,0.681551,31.3549,1,0.00355,0.0535,0.00210223,-0.000901058
4103.09,4.74844e+06,309.342,-8.96736,12.6118,1,0.0036,0.0535,0.00210223,-0.000901058
