"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
3971.75,4.84816e+06,460.132,-9.76981,-12.9969,1,0.003,0.0535,-0.00301977,0.00060567
1653.27,1.02594e+06,215.45,-22.6433,33.9901,1,0.00305,0.0535,-0.00301977,0.00060567
2732.71,2.08709e+06,364.52,12.8599,49.8498,1,0.0031,0.0535,-0.00301977,0.00060567
906.293,423140,184.864,6.2483,1.80727,1,0.00315,0.0535,-0.00301977,0.00060567
905.5,423143,213.718,7.34965,1.38652,1,0.0032,0.0535,-0.00301977,0.00060567
563.539,184361,162.629,4.27035,-8.56738,1,0.00325,0.0535,-0.00301977,0.00060567
3784.91,4.27284e+06,339.873,-23.729,14.519,1,0.0033,0.0535,-0.00301977,0.00060567
2914.07,2.30925e+06,273.764,9.26358,-32.883,1,0.00335,0.0535,-0.00301977,0.00060567
1916.13,1.14757e+06,345.965,-1.81149,-54.6577,1,0.0034,0.0535,-0.00301977,0.00060567
2251.03,1.66688e+06,227.805,-4.53294,-22.3343,1,0.00345,0.0535,-0.00301977,0.00060567
1985.77,1.64994e+06,200.18,-4.12376,24.9856,1,0.0035,0.0535,-0.00301977,0.00060567
5973.99,7.02386e+06,506.464,4.39958,59.5012,1,0.00355,0.0535,-0.00301977,0.00060567
9551.51,1.11034e+07,462.723,17.7269,37.3075,1,0.0036,0.0535,-0.00301977,0.00060567
