"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
7011.38,7.88501e+06,169.141,18.8632,-17.3962,1,0.003,0.0534972,-0.000910615,-0.00389436
3000.75,2.4091e+06,225.293,9.99693,-24.085,1,0.00305,0.0534972,-0.000910615,-0.00389436
3216.23,2.91087e+06,132.738,-9.88335,-1.29373,1,0.0031,0.0534972,-0.000910615,-0.00389436
4601.8,5.89137e+06,370.604,2.9492,-47.6339,1,0.00315,0.0534972,-0.000910615,-0.00389436
4077.27,5.17174e+06,391.094,29.2398,-44.9023,1,0.0032,0.0534972,-0.000910615,-0.00389436
6873.65,7.77301e+06,334.745,24.5117,-23.9144,1,0.00325,0.0534972,-0.000910615,-0.00389436
6812.95,7.72408e+06,319.52,18.1444,-15.7134,1,0.0033,0.0534972,-0.000910615,-0.00389436
3270.18,3.05369e+06,272.941,-57.9939,-19.9688,1,0.00335,0.0534972,-0.000910615,-0.00389436
2178.06,1.34968e+06,215.771,-48.0062,-11.6203,1,0.0034,0.0534972,-0.000910615,-0.00389436
819.083,362247,204.474,-5.1421,-16.8696,1,0.00345,0.0534972,-0.000910615,-0.00389436
1161.56,602686,131.536,20.6985,-16.6827,1,0.0035,0.0534972,-0.000910615,-0.00389436
1208.91,636041,138.425,22.2064,-15.1514,1,0.00355,0.0534972,-0.000910615,-0.00389436
2979.48,2.36315e+06,77.0464,11.0643,-5.23949,1,0.0036,0.0534972,-0.000910615,-0.00389436
