"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
3688.82,4.22286e+06,140.586,29.9894,-0.260119,1,0.003,0.0534885,0.00249743,-0.00312379
1736.08,1.01293e+06,204.324,21.9883,-11.3187,1,0.00305,0.0534885,0.00249743,-0.00312379
2509.33,1.69753e+06,94.3437,-3.44647,2.13821,1,0.0031,0.0534885,0.00249743,-0.00312379
3591.61,3.97898e+06,191.575,47.2003,9.22031,1,0.00315,0.0534885,0.00249743,-0.00312379
3694.59,4.26929e+06,269.241,17.7578,-14.3152,1,0.0032,0.0534885,0.00249743,-0.00312379
5858.16,6.97076e+06,316.979,38.261,1.30927,1,0.00325,0.0534885,0.00249743,-0.00312379
3506.77,3.73274e+06,225.599,8.79735,-16.5397,1,0.0033,0.0534885,0.00249743,-0.00312379
3075.66,2.58019e+06,126.568,-14.3765,-27.3973,1,0.00335,0.0534885,0.00249743,-0.00312379
2825.51,2.11946e+06,134.157,-0.734289,-16.2299,1,0.0034,0.0534885,0.00249743,-0.00312379
1404.9,775409,191.729,10.8353,-11.833,1,0.00345,0.0534885,0.00249743,-0.00312379
696.443,276876,130.51,23.1317,-1.32796,1,0.0035,0.0534885,0.00249743,-0.00312379
496.09,137409,132.788,21.4979,-4.89013,1,0.00355,0.0534885,0.00249743,-0.00312379
476.196,123560,110.229,16.5043,-6.42316,1,0.0036,0.0534885,0.00249743,-0.00312379
