"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
1624.24,963267,197.389,-9.92251,-15.3719,1,0.003,0.0535031,-0.00242575,-0.00273418
3320.93,3.21532e+06,335.867,5.48352,-50.5576,1,0.00305,0.0535031,-0.00242575,-0.00273418
2735.25,2.38333e+06,238.826,-10.6057,4.36596,1,0.0031,0.0535031,-0.00242575,-0.00273418
3969.15,4.82689e+06,351.921,-67.4103,27.22,1,0.00315,0.0535031,-0.00242575,-0.00273418
4528.49,5.34425e+06,457.378,-42.6374,-34.0532,1,0.0032,0.0535031,-0.00242575,-0.00273418
4198.37,4.90032e+06,353.236,-14.7123,-36.9861,1,0.00325,0.0535031,-0.00242575,-0.00273418
3847.11,4.34638e+06,387.804,2.81187,-47.5858,1,0.0033,0.0535031,-0.00242575,-0.00273418
2921.7,2.2965e+06,280.524,-13.884,-1.11487,1,0.00335,0.0535031,-0.00242575,-0.00273418
1314.27,710359,269.415,-55.8879,13.0261,1,0.0034,0.0535031,-0.00242575,-0.00273418
892.857,413699,218.776,-21.5358,-1.03962,1,0.00345,0.0535031,-0.00242575,-0.00273418
1820.31,1.17092e+06,169.194,6.7623,-19.2787,1,0.0035,0.0535031,-0.00242575,-0.00273418
3879.51,4.09954e+06,248.296,3.24556,-13.078,1,0.00355,0.0535031,-0.00242575,-0.00273418
9978.25,1.19663e+07,421.87,-7.03864,-31.6819,1,0.0036,0.0535031,-0.00242575,-0.00273418
