"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
9794.91,1.11428e+07,702.843,-52.2196,37.3127,1,0.003,0.0535,-0.00211899,0.00211863
3502.65,3.71563e+06,417.595,17.0455,45.6478,1,0.00305,0.0535,-0.00211899,0.00211863
1183.98,618475,292.216,16.7478,1.8401,1,0.0031,0.0535,-0.00211899,0.00211863
3267.26,3.05795e+06,255.266,-2.79338,-18.6605,1,0.00315,0.0535,-0.00211899,0.00211863
2886.34,3.19179e+06,343.239,2.76524,-10.7578,1,0.0032,0.0535,-0.00211899,0.00211863
8140.66,9.16929e+06,541.011,0.982527,39.3467,1,0.00325,0.0535,-0.00211899,0.00211863
10947.8,1.52338e+07,702.584,5.14977,-1.80925,1,0.0033,0.0535,-0.00211899,0.00211863
4854.64,5.89664e+06,422.641,-65.8366,-64.1375,1,0.00335,0.0535,-0.00211899,0.00211863
2852.7,2.15868e+06,351.444,-37.1322,-1.73757,1,0.0034,0.0535,-0.00211899,0.00211863
6113.31,7.1678e+06,565.347,-15.1493,53.1257,1,0.00345,0.0535,-0.00211899,0.00211863
728.012,298852,195.691,15.9608,29.5008,1,0.0035,0.0535,-0.00211899,0.00211863
1991.1,1.30887e+06,240.392,23.4495,20.7658,1,0.00355,0.0535,-0.00211899,0.00211863
1475.74,832926,191.952,14.8173,13.5867,1,0.0036,0.0535,-0.00211899,0.00211863
