"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
4384.01,5.50792e+06,407.579,-18.8735,-23.8623,1,0.003,0.0535,-0.00334073,0.000915503
827.839,368423,217.627,-18.9235,34.4356,1,0.00305,0.0535,-0.00334073,0.000915503
1107.25,569731,215.133,5.74347,25.7603,1,0.0031,0.0535,-0.00334073,0.000915503
953.838,456409,182.227,-9.10903,-16.3647,1,0.00315,0.0535,-0.00334073,0.000915503
644.026,240388,173.606,0.694892,-2.43344,1,0.0032,0.0535,-0.00334073,0.000915503
846.246,381684,179.476,-12.0068,-19.2915,1,0.00325,0.0535,-0.00334073,0.000915503
3196.93,2.96314e+06,325.586,-19.1,0.889136,1,0.0033,0.0535,-0.00334073,0.000915503
2609.3,1.90119e+06,234.51,-5.35863,-26.7108,1,0.00335,0.0535,-0.00334073,0.000915503
1930.94,1.159e+06,330.592,-31.3395,-70.0331,1,0.0034,0.0535,-0.00334073,0.000915503
1229.04,650345,206.288,-9.00836,-14.5673,1,0.00345,0.0535,-0.00334073,0.000915503
541.391,168943,177.708,-6.19599,24.3037,1,0.0035,0.0535,-0.00334073,0.000915503
3337.34,3.40987e+06,263.008,12.7021,39.226,1,0.00355,0.0535,-0.00334073,0.000915503
5604.15,6.54176e+06,273.797,9.28594,22.1063,1,0.0036,0.0535,-0.00334073,0.000915503
