"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
5355.3,6.51992e+06,481.142,-14.4995,42.5943,1,0.003,0.0535,-0.00210226,0.000901026
8099.61,8.91207e+06,720.094,-53.3663,53.1192,1,0.00305,0.0535,-0.00210226,0.000901026
2098.04,1.31538e+06,348.41,30.2374,-5.22419,1,0.0031,0.0535,-0.00210226,0.000901026
2736.34,1.97371e+06,301.674,18.2557,39.4239,1,0.00315,0.0535,-0.00210226,0.000901026
1519.13,1.03542e+06,224.617,1.75455,-22.4235,1,0.0032,0.0535,-0.00210226,0.000901026
2078.33,1.92169e+06,191.079,-6.19144,14.5578,1,0.00325,0.0535,-0.00210226,0.000901026
10291.7,1.25057e+07,699.371,11.9449,9.0122,1,0.0033,0.0535,-0.00210226,0.000901026
3975.18,4.9336e+06,463.571,-14.9327,-70.8484,1,0.00335,0.0535,-0.00210226,0.000901026
1682.61,976635,297.126,-5.93514,10.2681,1,0.0034,0.0535,-0.00210226,0.000901026
9444.23,1.08743e+07,601.29,-50.3747,105.108,1,0.00345,0.0535,-0.00210226,0.000901026
6306.46,7.3201e+06,436.845,47.2504,58.7397,1,0.0035,0.0535,-0.00210226,0.000901026
5556.46,6.63515e+06,492.443,-11.2395,27.4455,1,0.00355,0.0535,-0.00210226,0.000901026
7242.31,8.17047e+06,469.207,30.6486,-1.02861,1,0.0036,0.0535,-0.00210226,0.000901026
