"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
3103.34,2.64586e+06,402.167,5.24702,21.7511,1,0.003,0.0535,0.00271466,-0.000905681
7084.78,8.09334e+06,651.683,-13.081,-3.44268,1,0.00305,0.0535,0.00271466,-0.000905681
11141.7,1.50123e+07,684.746,75.0487,51.1027,1,0.0031,0.0535,0.00271466,-0.000905681
3589.89,3.95707e+06,348.091,10.9443,0.888183,1,0.00315,0.0535,0.00271466,-0.000905681
4370.47,4.91809e+06,393.015,-14.6059,8.20814,1,0.0032,0.0535,0.00271466,-0.000905681
4528.22,5.2873e+06,360.956,9.45912,-40.019,1,0.00325,0.0535,0.00271466,-0.000905681
9100.58,1.14076e+07,462.989,-10.7856,-17.1098,1,0.0033,0.0535,0.00271466,-0.000905681
11331.7,1.67445e+07,504.622,-38.5628,-85.1554,1,0.00335,0.0535,0.00271466,-0.000905681
5847.68,6.94596e+06,513.775,17.232,-5.9195,1,0.0034,0.0535,0.00271466,-0.000905681
3524.72,3.78202e+06,426.825,42.8188,9.90559,1,0.00345,0.0535,0.00271466,-0.000905681
2944.65,2.32949e+06,376.467,17.9296,13.8909,1,0.0035,0.0535,0.00271466,-0.000905681
3272.97,3.16283e+06,318.949,-0.428049,2.90444,1,0.00355,0.0535,0.00271466,-0.000905681
4725.53,5.714e+06,372.176,-10.1376,-1.82609,1,0.0036,0.0535,0.00271466,-0.000905681
