"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
3556.88,3.87138e+06,418.942,-12.1137,5.05926,1,0.003,0.0535,-0.00270689,0.000301156
4707.25,4.72207e+06,368.66,-20.8645,32.9927,1,0.00305,0.0535,-0.00270689,0.000301156
3211.1,2.90852e+06,436.315,-28.752,38.7923,1,0.0031,0.0535,-0.00270689,0.000301156
1230.21,651998,205.778,8.52416,13.5752,1,0.00315,0.0535,-0.00270689,0.000301156
1522.46,862323,285.584,-4.07711,1.34888,1,0.0032,0.0535,-0.00270689,0.000301156
666.672,256153,177.701,12.5975,-1.44102,1,0.00325,0.0535,-0.00270689,0.000301156
4196.2,4.72781e+06,318.612,-22.5677,27.261,1,0.0033,0.0535,-0.00270689,0.000301156
3107.85,2.6789e+06,303.451,15.8377,-48.6322,1,0.00335,0.0535,-0.00270689,0.000301156
1648.92,950381,298.26,24.154,-18.9425,1,0.0034,0.0535,-0.00270689,0.000301156
3856.5,4.25778e+06,306.494,-22.306,-35.1747,1,0.00345,0.0535,-0.00270689,0.000301156
5937.26,6.81183e+06,404.173,-9.27172,41.863,1,0.0035,0.0535,-0.00270689,0.000301156
8932.85,9.90197e+06,636.733,-40.8538,40.1401,1,0.00355,0.0535,-0.00270689,0.000301156
11236.1,1.54691e+07,583.914,5.37457,37.4821,1,0.0036,0.0535,-0.00270689,0.000301156
