"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
831.516,370902,118.232,2.3598,18.549,1,0.003,0.0534956,0.00325313,0.00232674
1026.54,507579,124.704,1.45149,23.4004,1,0.00305,0.0534956,0.00325313,0.00232674
2155.45,1.33224e+06,190.954,-5.22395,38.6005,1,0.0031,0.0534956,0.00325313,0.00232674
781.777,336278,116.815,8.41207,12.6555,1,0.00315,0.0534956,0.00325313,0.00232674
710.183,286441,103.553,4.37853,11.8486,1,0.0032,0.0534956,0.00325313,0.00232674
1661.08,958658,99.6146,6.51202,2.38218,1,0.00325,0.0534956,0.00325313,0.00232674
1405.2,774838,124.888,4.61869,9.14804,1,0.0033,0.0534956,0.00325313,0.00232674
1562.99,888192,86.3587,-0.0201291,13.7876,1,0.00335,0.0534956,0.00325313,0.00232674
3740.33,4.39869e+06,234.897,13.134,16.8461,1,0.0034,0.0534956,0.00325313,0.00232674
5404.08,6.60962e+06,296.536,20.2023,17.4789,1,0.00345,0.0534956,0.00325313,0.00232674
2732.9,1.94562e+06,133.596,5.961,8.14064,1,0.0035,0.0534956,0.00325313,0.00232674
6637.62,7.58504e+06,333.879,-17.3845,71.0872,1,0.00355,0.0534956,0.00325313,0.00232674
6323.75,7.33709e+06,237.577,7.26255,11.2656,1,0.0036,0.0534956,0.00325313,0.00232674
