"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
6701.3,7.65005e+06,389.92,-40.2296,-7.80226,1,0.003,0.0535001,-0.00305499,0.00212673
1443.31,802498,266.018,6.552,52.4476,1,0.00305,0.0535001,-0.00305499,0.00212673
1159.84,601476,246.08,-4.91678,17.2267,1,0.0031,0.0535001,-0.00305499,0.00212673
2252.62,1.47909e+06,135.312,-14.1615,-10.9423,1,0.00315,0.0535001,-0.00305499,0.00212673
568.378,187729,170.966,-18.2574,0.437147,1,0.0032,0.0535001,-0.00305499,0.00212673
2239.93,1.65477e+06,202.99,-14.4024,-9.60627,1,0.00325,0.0535001,-0.00305499,0.00212673
3104.32,2.81634e+06,201.982,4.82272,12.5193,1,0.0033,0.0535001,-0.00305499,0.00212673
3064.82,2.59262e+06,308.969,-28.9532,-10.0898,1,0.00335,0.0535001,-0.00305499,0.00212673
1945.07,1.17255e+06,240.089,-50.3428,-38.6997,1,0.0034,0.0535001,-0.00305499,0.00212673
1880,1.16733e+06,231.873,-15.5266,3.90676,1,0.00345,0.0535001,-0.00305499,0.00212673
654.898,247956,178.299,-2.52945,22.1652,1,0.0035,0.0535001,-0.00305499,0.00212673
754.157,317112,158.801,5.90893,27.6983,1,0.00355,0.0535001,-0.00305499,0.00212673
1436.58,802905,133.943,9.73699,25.2467,1,0.0036,0.0535001,-0.00305499,0.00212673
