"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
4169.54,5.14612e+06,125.851,6.99066,-5.51456,1,0.003,0.0535,-0.0015281,-0.00369614
2679.44,1.94917e+06,225.066,19.9742,-20.1429,1,0.00305,0.0535,-0.0015281,-0.00369614
2714.44,2.10296e+06,82.0862,2.28487,-0.257879,1,0.0031,0.0535,-0.0015281,-0.00369614
3737.39,4.18617e+06,305.686,-26.5993,-11.882,1,0.00315,0.0535,-0.0015281,-0.00369614
3962.27,4.4199e+06,361.939,24.0972,-35.6685,1,0.0032,0.0535,-0.0015281,-0.00369614
4383.56,4.87751e+06,278.152,15.3083,-21.0788,1,0.00325,0.0535,-0.0015281,-0.00369614
3813.39,4.0812e+06,226.682,14.4748,-13.5817,1,0.0033,0.0535,-0.0015281,-0.00369614
2921.64,2.40892e+06,220.33,-31.0675,0.991236,1,0.00335,0.0535,-0.0015281,-0.00369614
1564.28,890393,203.204,-33.0923,6.09851,1,0.0034,0.0535,-0.0015281,-0.00369614
785.705,339012,168.791,-18.1776,-1.84586,1,0.00345,0.0535,-0.0015281,-0.00369614
1148.17,593253,115.196,12.0677,-13.1254,1,0.0035,0.0535,-0.0015281,-0.00369614
1936.19,1.18492e+06,112.247,19.5654,-9.327,1,0.00355,0.0535,-0.0015281,-0.00369614
4151.52,4.65323e+06,170.6,14.7719,-7.99233,1,0.0036,0.0535,-0.0015281,-0.00369614
