"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
13033.5,2.75405e+07,907.148,25.1541,30.6048,1,0.003,0.0535,-0.000900104,-0.00150017
12465.3,2.23445e+07,941.595,-49.0185,-7.1369,1,0.00305,0.0535,-0.000900104,-0.00150017
11110.3,1.48484e+07,662.094,52.5066,21.2226,1,0.0031,0.0535,-0.000900104,-0.00150017
7804.44,8.67251e+06,533.991,8.03045,-88.8898,1,0.00315,0.0535,-0.000900104,-0.00150017
12136.2,2.15477e+07,766.258,-6.53474,-72.6914,1,0.0032,0.0535,-0.000900104,-0.00150017
13455,3.15389e+07,790.44,-37.4599,-16.3572,1,0.00325,0.0535,-0.000900104,-0.00150017
13233.1,2.93276e+07,921.513,-2.21674,48.0288,1,0.0033,0.0535,-0.000900104,-0.00150017
3504.34,3.72331e+06,414.436,26.7799,-3.66005,1,0.00335,0.0535,-0.000900104,-0.00150017
1252.09,666454,253.081,15.1547,-23.4403,1,0.0034,0.0535,-0.000900104,-0.00150017
6414.34,7.43877e+06,469.562,45.5619,60.501,1,0.00345,0.0535,-0.000900104,-0.00150017
7833.25,8.64908e+06,592.922,-41.598,-24.0685,1,0.0035,0.0535,-0.000900104,-0.00150017
10571.7,1.31322e+07,669.328,-25.6937,29.1817,1,0.00355,0.0535,-0.000900104,-0.00150017
11467.5,1.65505e+07,568.377,-67.9736,-36.4187,1,0.0036,0.0535,-0.000900104,-0.00150017
