"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
7036.8,7.99758e+06,465.731,-6.50525,66.9112,1,0.003,0.0535001,-0.00150002,0.000300007
10878.5,1.40422e+07,847.803,-9.33739,35.1408,1,0.00305,0.0535001,-0.00150002,0.000300007
2913.31,2.57721e+06,378.151,-51.6094,-79.1877,1,0.0031,0.0535001,-0.00150002,0.000300007
3503.01,3.7168e+06,355.091,14.1344,25.3766,1,0.00315,0.0535001,-0.00150002,0.000300007
2817.57,2.52931e+06,302.447,19.8624,-49.6749,1,0.0032,0.0535001,-0.00150002,0.000300007
6117.91,6.89746e+06,300.542,24.1457,-16.7114,1,0.00325,0.0535001,-0.00150002,0.000300007
12116.3,2.01209e+07,815.834,31.1522,12.7634,1,0.0033,0.0535001,-0.00150002,0.000300007
3589.21,3.96853e+06,405.011,48.2581,-26.2674,1,0.00335,0.0535001,-0.00150002,0.000300007
1001.06,490432,209.218,8.71027,14.9978,1,0.0034,0.0535001,-0.00150002,0.000300007
11402.7,1.61971e+07,803.043,-67.9123,130.854,1,0.00345,0.0535001,-0.00150002,0.000300007
10545,1.29141e+07,746.955,48.803,48.7454,1,0.0035,0.0535001,-0.00150002,0.000300007
11826.7,1.89766e+07,715.491,-28.3521,28.0241,1,0.00355,0.0535001,-0.00150002,0.000300007
7470.65,8.33219e+06,470.48,-0.253012,-33.3167,1,0.0036,0.0535001,-0.00150002,0.000300007
