"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
1278.44,687989,149.946,-11.7523,-12.588,1,0.003,0.0534875,-0.00249972,-0.00312193
3058.94,2.53553e+06,252.921,4.50225,-44.6902,1,0.00305,0.0534875,-0.00249972,-0.00312193
1888.56,1.1263e+06,147.751,-7.98211,-3.0185,1,0.0031,0.0534875,-0.00249972,-0.00312193
3586.24,3.96396e+06,279.93,-61.9325,15.7301,1,0.00315,0.0534875,-0.00249972,-0.00312193
3499.91,3.70999e+06,337.387,-38.314,-20.3839,1,0.0032,0.0534875,-0.00249972,-0.00312193
3447.6,3.55686e+06,264.379,-16.0025,-29.3564,1,0.00325,0.0534875,-0.00249972,-0.00312193
3296.38,3.12591e+06,282.97,0.0340872,-38.448,1,0.0033,0.0534875,-0.00249972,-0.00312193
2720.86,1.93428e+06,195.071,-15.4843,-5.83725,1,0.00335,0.0534875,-0.00249972,-0.00312193
1230.64,651342,227.005,-52.2282,8.31473,1,0.0034,0.0534875,-0.00249972,-0.00312193
853.319,386079,182.925,-27.8873,-2.31581,1,0.00345,0.0534875,-0.00249972,-0.00312193
1216.15,641137,125.226,-2.43047,-17.3707,1,0.0035,0.0534875,-0.00249972,-0.00312193
2925.12,2.30056e+06,128.062,1.70219,-9.77294,1,0.00355,0.0534875,-0.00249972,-0.00312193
8072.74,8.91044e+06,281.938,-1.7061,-21.7268,1,0.0036,0.0534875,-0.00249972,-0.00312193
