"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
1724.31,1.00408e+06,163.604,11.5594,-5.42221,1,0.003,0.0535,0.00398712,0.000314849
2750.17,1.97264e+06,205.001,15.2135,-12.0355,1,0.00305,0.0535,0.00398712,0.000314849
2952.66,2.34507e+06,198.877,10.0856,43.9884,1,0.0031,0.0535,0.00398712,0.000314849
986.022,479258,132.701,11.2198,16.2234,1,0.00315,0.0535,0.00398712,0.000314849
567.908,187402,148.803,13.3791,4.13377,1,0.0032,0.0535,0.00398712,0.000314849
586.474,200326,136.774,10.1834,3.68611,1,0.00325,0.0535,0.00398712,0.000314849
593.673,205337,126.143,11.669,2.99662,1,0.0033,0.0535,0.00398712,0.000314849
2532.45,1.69811e+06,129.533,6.84399,-3.95479,1,0.00335,0.0535,0.00398712,0.000314849
3383.7,3.37142e+06,257.768,26.0951,3.13348,1,0.0034,0.0535,0.00398712,0.000314849
3532.07,3.8036e+06,273.482,27.4579,-8.01859,1,0.00345,0.0535,0.00398712,0.000314849
2459.88,1.62079e+06,230.626,10.251,-3.47741,1,0.0035,0.0535,0.00398712,0.000314849
4148.65,5.05652e+06,242.536,-4.22638,19.4826,1,0.00355,0.0535,0.00398712,0.000314849
6744.28,7.67652e+06,309.186,22.5926,-25.0626,1,0.0036,0.0535,0.00398712,0.000314849
