"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
6986.79,7.98942e+06,529.402,0.678484,17.1206,1,0.003,0.0535,0.00150226,-0.00180279
9994.54,1.22369e+07,707.984,13.2567,28.2334,1,0.00305,0.0535,0.00150226,-0.00180279
11780.9,1.78566e+07,688.43,99.2939,-52.6387,1,0.0031,0.0535,0.00150226,-0.00180279
7090.67,7.96467e+06,558.319,28.4228,-49.205,1,0.00315,0.0535,0.00150226,-0.00180279
12818.9,2.53057e+07,867.339,4.21894,-17.3637,1,0.0032,0.0535,0.00150226,-0.00180279
10835,1.40174e+07,586.931,-67.9491,-53.1167,1,0.00325,0.0535,0.00150226,-0.00180279
14073.7,3.93089e+07,840.629,-128.284,-110.611,1,0.0033,0.0535,0.00150226,-0.00180279
11097,1.48045e+07,606.494,-83.7978,-49.2345,1,0.00335,0.0535,0.00150226,-0.00180279
10056.8,1.17687e+07,694.807,126.931,-10.568,1,0.0034,0.0535,0.00150226,-0.00180279
6695.4,7.62362e+06,492.613,88.0074,117.684,1,0.00345,0.0535,0.00150226,-0.00180279
1813.17,1.09931e+06,280.736,3.86282,6.5636,1,0.0035,0.0535,0.00150226,-0.00180279
2255.19,1.9008e+06,284.786,1.78662,7.91886,1,0.00355,0.0535,0.00150226,-0.00180279
1645.9,990327,224.067,2.25311,7.4983,1,0.0036,0.0535,0.00150226,-0.00180279
