"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
2633.32,1.81349e+06,160.53,6.02878,-1.29531,1,0.003,0.0534998,0.00362991,-0.00121134
2503.41,1.77567e+06,186.941,4.56435,4.60263,1,0.00305,0.0534998,0.00362991,-0.00121134
3654.97,3.81974e+06,178.476,21.8892,38.1937,1,0.0031,0.0534998,0.00362991,-0.00121134
2767.35,2.15232e+06,143.735,16.9509,32.1142,1,0.00315,0.0534998,0.00362991,-0.00121134
751.75,315376,135.302,9.47518,4.49177,1,0.0032,0.0534998,0.00362991,-0.00121134
2078.74,1.34908e+06,138.195,5.96914,5.51424,1,0.00325,0.0534998,0.00362991,-0.00121134
928.82,439343,121.144,3.5784,-11.9631,1,0.0033,0.0534998,0.00362991,-0.00121134
2182.56,1.55286e+06,90.3613,0.00817592,-12.3986,1,0.00335,0.0534998,0.00362991,-0.00121134
3082.08,2.80148e+06,181.995,11.2808,6.65281,1,0.0034,0.0534998,0.00362991,-0.00121134
2682.57,2.00944e+06,264.003,14.4591,-7.35803,1,0.00345,0.0534998,0.00362991,-0.00121134
1508.22,849876,236.668,18.941,0.71062,1,0.0035,0.0534998,0.00362991,-0.00121134
1770.73,1.0945e+06,160.205,4.41201,-6.73426,1,0.00355,0.0534998,0.00362991,-0.00121134
1829.91,1.23491e+06,112.276,2.44076,-1.16651,1,0.0036,0.0534998,0.00362991,-0.00121134
