"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
12248.6,2.09195e+07,822.106,19.4804,6.38844,1,0.003,0.0535001,-0.000599997,-0.000599997
11937.5,1.88317e+07,852.116,40.4893,-86.0201,1,0.00305,0.0535001,-0.000599997,-0.000599997
10829.5,1.37707e+07,627.841,43.7111,-137.624,1,0.0031,0.0535001,-0.000599997,-0.000599997
9259.01,1.02367e+07,586.744,1.62929,-39.9706,1,0.00315,0.0535001,-0.000599997,-0.000599997
11322.3,1.7222e+07,678.121,16.9559,-51.0734,1,0.0032,0.0535001,-0.000599997,-0.000599997
13593.9,3.31438e+07,793.849,30.9963,19.641,1,0.00325,0.0535001,-0.000599997,-0.000599997
13640,3.36296e+07,931.683,41.8224,56.4306,1,0.0033,0.0535001,-0.000599997,-0.000599997
3646.56,4.13188e+06,421.56,33.121,4.46498,1,0.00335,0.0535001,-0.000599997,-0.000599997
2943.9,2.77931e+06,338.348,-6.03778,-13.2136,1,0.0034,0.0535001,-0.000599997,-0.000599997
11212,1.51833e+07,812.599,-18.6551,-2.8464,1,0.00345,0.0535001,-0.000599997,-0.000599997
8918.22,9.79269e+06,685.642,-74.3879,-26.0744,1,0.0035,0.0535001,-0.000599997,-0.000599997
12105,2.03785e+07,723.258,-46.0138,-1.53674,1,0.00355,0.0535001,-0.000599997,-0.000599997
10986,1.44079e+07,559.535,-54.9247,-38.4559,1,0.0036,0.0535001,-0.000599997,-0.000599997
