"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
4221.66,5.20458e+06,449.976,-30.8408,28.5308,1,0.003,0.0535,0.00120517,0.00240996
2221.75,1.39599e+06,388.525,-22.5949,1.93325,1,0.00305,0.0535,0.00120517,0.00240996
1093.5,554748,241.378,-27.8212,0.285374,1,0.0031,0.0535,0.00120517,0.00240996
7999.76,8.86331e+06,521.646,-5.95365,58.9729,1,0.00315,0.0535,0.00120517,0.00240996
11143.5,1.56173e+07,784.467,-6.60249,-22.0658,1,0.0032,0.0535,0.00120517,0.00240996
11711.1,1.76385e+07,680.698,-9.95747,-15.9912,1,0.00325,0.0535,0.00120517,0.00240996
12543.3,2.44356e+07,663.255,-85.7537,52.8276,1,0.0033,0.0535,0.00120517,0.00240996
13944.4,3.72329e+07,808.962,-76.3524,71.7672,1,0.00335,0.0535,0.00120517,0.00240996
10955,1.45511e+07,742.122,61.8344,-0.050698,1,0.0034,0.0535,0.00120517,0.00240996
10229.1,1.20183e+07,794.141,-49.4309,3.3344,1,0.00345,0.0535,0.00120517,0.00240996
5241.72,6.07244e+06,479.067,-23.333,-22.3924,1,0.0035,0.0535,0.00120517,0.00240996
3780.05,4.4489e+06,356.845,7.72885,0.66248,1,0.00355,0.0535,0.00120517,0.00240996
9466.29,1.09993e+07,552.444,-19.098,-17.3718,1,0.0036,0.0535,0.00120517,0.00240996
