"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
8737.57,9.54086e+06,224.116,23.6903,-24.14,1,0.003,0.0535,-0.000314866,-0.00398712
3208.67,2.89544e+06,242.064,7.76838,-21.9405,1,0.00305,0.0535,-0.000314866,-0.00398712
3506.03,3.7286e+06,162.225,-17.6781,-1.38574,1,0.0031,0.0535,-0.000314866,-0.00398712
5014.15,6.28177e+06,391.268,21.9699,-47.2097,1,0.00315,0.0535,-0.000314866,-0.00398712
4191.66,5.36147e+06,398.142,18.037,-37.5729,1,0.0032,0.0535,-0.000314866,-0.00398712
8019.83,8.76428e+06,369.733,30.375,-20.8208,1,0.00325,0.0535,-0.000314866,-0.00398712
8255.6,8.99917e+06,388.448,19.8555,-14.8596,1,0.0033,0.0535,-0.000314866,-0.00398712
3302.36,3.14236e+06,276.929,-63.632,-25.2046,1,0.00335,0.0535,-0.000314866,-0.00398712
2454.64,1.60941e+06,211.995,-52.2579,-12.603,1,0.0034,0.0535,-0.000314866,-0.00398712
897.692,417070,219.934,2.59966,-18.9711,1,0.00345,0.0535,-0.000314866,-0.00398712
991.127,482635,139.011,22.4097,-13.5581,1,0.0035,0.0535,-0.000314866,-0.00398712
868.424,396786,145.556,22.576,-14.8165,1,0.00355,0.0535,-0.000314866,-0.00398712
2154.69,1.343e+06,88.0321,12.1677,2.47202,1,0.0036,0.0535,-0.000314866,-0.00398712
