"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
6280.31,7.29187e+06,484.751,11.3922,1.13097,1,0.003,0.0535,-0.001817,-0.00242336
5966.71,6.99746e+06,504.214,-31.0258,6.74568,1,0.00305,0.0535,-0.001817,-0.00242336
7590.46,8.53434e+06,482.436,-32.9913,46.2924,1,0.0031,0.0535,-0.001817,-0.00242336
5076.35,6.33373e+06,450.022,-58.7966,-33.2255,1,0.00315,0.0535,-0.001817,-0.00242336
10031.9,1.20294e+07,705.693,-46.2728,-85.6674,1,0.0032,0.0535,-0.001817,-0.00242336
9889.06,1.18664e+07,563.227,-7.55351,-45.0414,1,0.00325,0.0535,-0.001817,-0.00242336
8920.92,1.00995e+07,664.936,4.06912,-18.8633,1,0.0033,0.0535,-0.001817,-0.00242336
3405.63,3.43593e+06,419.938,-29.103,35.7317,1,0.00335,0.0535,-0.001817,-0.00242336
1812.2,1.07047e+06,326.155,-39.1012,4.53263,1,0.0034,0.0535,-0.001817,-0.00242336
788.838,341193,217.514,13.9824,-5.15822,1,0.00345,0.0535,-0.001817,-0.00242336
5569.83,6.50164e+06,424.796,46.9845,-39.9901,1,0.0035,0.0535,-0.001817,-0.00242336
9697.29,1.17734e+07,618.513,22.3111,-25.7301,1,0.00355,0.0535,-0.001817,-0.00242336
11750.6,1.78149e+07,594.007,-29.3102,-41.4521,1,0.0036,0.0535,-0.001817,-0.00242336
