"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
7206.13,8.07065e+06,253.054,-5.20521,10.7781,1,0.003,0.0535,-0.0015281,0.00369614
2222.83,1.41106e+06,281.915,20.775,20.4832,1,0.00305,0.0535,-0.0015281,0.00369614
898.845,417867,177.549,-4.60434,6.90583,1,0.0031,0.0535,-0.0015281,0.00369614
2758.07,2.20389e+06,77.7467,-15.379,-3.86132,1,0.00315,0.0535,-0.0015281,0.00369614
2278.18,1.57151e+06,161.266,4.42618,4.41836,1,0.0032,0.0535,-0.0015281,0.00369614
4667.83,5.23702e+06,251.791,17.7213,19.5624,1,0.00325,0.0535,-0.0015281,0.00369614
7478.04,8.65142e+06,352.691,18.6825,19.2962,1,0.0033,0.0535,-0.0015281,0.00369614
4482.53,4.96752e+06,148.761,-31.8104,-8.37072,1,0.00335,0.0535,-0.0015281,0.00369614
3244.92,3.14568e+06,231.629,-54.2058,-1.82573,1,0.0034,0.0535,-0.0015281,0.00369614
2441.23,1.66408e+06,203.819,36.396,22.3165,1,0.00345,0.0535,-0.0015281,0.00369614
858.139,389434,162.593,10.2981,15.7218,1,0.0035,0.0535,-0.0015281,0.00369614
592.621,204605,131.556,11.6229,13.2733,1,0.00355,0.0535,-0.0015281,0.00369614
575.138,192435,102.231,5.74582,9.64559,1,0.0036,0.0535,-0.0015281,0.00369614
