"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
3453.52,3.58214e+06,319.121,18.1185,7.08301,1,0.003,0.0535002,0.00243559,-0.00243624
2280.77,1.54421e+06,315.568,11.4078,-4.87598,1,0.00305,0.0535002,0.00243559,-0.00243624
6466.69,7.34046e+06,380.701,15.481,8.37898,1,0.0031,0.0535002,0.00243559,-0.00243624
4952.19,6.10504e+06,454.479,58.7209,3.23602,1,0.00315,0.0535002,0.00243559,-0.00243624
7541.42,8.7599e+06,556.897,22.1468,5.35506,1,0.0032,0.0535002,0.00243559,-0.00243624
7564.76,8.45022e+06,509.43,16.6922,-1.31366,1,0.00325,0.0535002,0.00243559,-0.00243624
4595.12,5.42528e+06,361.707,-7.67642,-15.7072,1,0.0033,0.0535002,0.00243559,-0.00243624
5162.23,6.06992e+06,254.185,-41.5137,-53.8021,1,0.00335,0.0535002,0.00243559,-0.00243624
4217.8,5.00862e+06,358.73,25.6575,-21.7328,1,0.0034,0.0535002,0.00243559,-0.00243624
2185.23,1.36713e+06,330.666,-0.473142,-8.35166,1,0.00345,0.0535002,0.00243559,-0.00243624
797.051,346911,198.024,11.9991,2.83926,1,0.0035,0.0535002,0.00243559,-0.00243624
521.952,155413,192.497,8.8864,-2.37765,1,0.00355,0.0535002,0.00243559,-0.00243624
499.541,139819,153.619,6.15133,-4.4743,1,0.0036,0.0535002,0.00243559,-0.00243624
