"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
11883.4,1.8473e+07,829.887,-28.6882,47.2188,1,0.003,0.0535001,0.000599998,0.000299999
13260.3,2.95616e+07,972.22,-101.448,-64.0181,1,0.00305,0.0535001,0.000599998,0.000299999
11407.6,1.61344e+07,695.665,6.61077,-101.553,1,0.0031,0.0535001,0.000599998,0.000299999
3959.97,4.25752e+06,262.51,-21.8238,-85.6873,1,0.00315,0.0535001,0.000599998,0.000299999
10720,1.36837e+07,709.322,-40.2441,-67.0757,1,0.0032,0.0535001,0.000599998,0.000299999
14573.4,4.50771e+07,852.875,130.452,3.16298,1,0.00325,0.0535001,0.000599998,0.000299999
14407.6,4.2964e+07,969.795,132.47,36.8708,1,0.0033,0.0535001,0.000599998,0.000299999
9902.42,1.15894e+07,635.062,41.2722,4.18353,1,0.00335,0.0535001,0.000599998,0.000299999
12599.4,2.34499e+07,890.959,-49.5356,16.5627,1,0.0034,0.0535001,0.000599998,0.000299999
9831.12,1.11759e+07,752.056,13.7826,-9.3493,1,0.00345,0.0535001,0.000599998,0.000299999
8165.48,8.91267e+06,602.604,37.8866,-51.8907,1,0.0035,0.0535001,0.000599998,0.000299999
12624.2,2.38889e+07,769.503,-3.92633,-9.65774,1,0.00355,0.0535001,0.000599998,0.000299999
9661.19,1.10119e+07,514.883,4.07733,-23.5215,1,0.0036,0.0535001,0.000599998,0.000299999
