"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
8324.3,9.24754e+06,580.905,-10.6967,81.6934,1,0.003,0.0535001,0.00150001,-1.9199e-10
13444.1,3.14373e+07,1009.19,-35.8891,93.5779,1,0.00305,0.0535001,0.00150001,-1.9199e-10
11729.4,1.75931e+07,725.863,38.1572,24.0991,1,0.0031,0.0535001,0.00150001,-1.9199e-10
2322.63,1.54293e+06,245.723,-12.2423,-36.4909,1,0.00315,0.0535001,0.00150001,-1.9199e-10
5572.87,6.66186e+06,473.539,-11.1309,-41.648,1,0.0032,0.0535001,0.00150001,-1.9199e-10
14582,4.51916e+07,867.951,46.9866,-49.7225,1,0.00325,0.0535001,0.00150001,-1.9199e-10
15092.6,5.16838e+07,1015.04,96.5358,-25.3583,1,0.0033,0.0535001,0.00150001,-1.9199e-10
12288.6,2.13295e+07,743.252,47.4424,6.53328,1,0.00335,0.0535001,0.00150001,-1.9199e-10
11679.1,1.75352e+07,822.265,-15.6776,67.8297,1,0.0034,0.0535001,0.00150001,-1.9199e-10
9080.36,1.01069e+07,718.545,-17.8745,49.5068,1,0.00345,0.0535001,0.00150001,-1.9199e-10
8709.33,9.52503e+06,705.868,21.8231,11.8381,1,0.0035,0.0535001,0.00150001,-1.9199e-10
11420.2,1.63714e+07,695.154,-31.4918,36.0929,1,0.00355,0.0535001,0.00150001,-1.9199e-10
9525.69,1.07601e+07,507.042,11.7696,32.7805,1,0.0036,0.0535001,0.00150001,-1.9199e-10
