"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
10392.6,1.28301e+07,651.352,-25.8703,78.4792,1,0.003,0.0535001,-0.00120003,0.000900021
8792.9,9.65696e+06,681.374,-76.8015,-5.06108,1,0.00305,0.0535001,-0.00120003,0.000900021
1979.4,1.22144e+06,347.959,-11.3584,-51.9558,1,0.0031,0.0535001,-0.00120003,0.000900021
3237.52,2.99961e+06,322.321,26.5359,21.2822,1,0.00315,0.0535001,-0.00120003,0.000900021
6898.98,7.83192e+06,582.596,20.9276,-25.4847,1,0.0032,0.0535001,-0.00120003,0.000900021
11839.7,1.95427e+07,641.997,47.038,15.2443,1,0.00325,0.0535001,-0.00120003,0.000900021
12737.1,2.4711e+07,855.95,53.7735,-25.8287,1,0.0033,0.0535001,-0.00120003,0.000900021
4508.35,5.63716e+06,449.855,-5.92142,-13.5993,1,0.00335,0.0535001,-0.00120003,0.000900021
4850.08,5.48225e+06,375.657,-28.093,66.9572,1,0.0034,0.0535001,-0.00120003,0.000900021
11335.4,1.58517e+07,837.104,-45.8068,48.2765,1,0.00345,0.0535001,-0.00120003,0.000900021
7627.53,8.5096e+06,569.787,74.4188,12.5708,1,0.0035,0.0535001,-0.00120003,0.000900021
5826.86,6.65901e+06,464.065,-10.023,-2.59999,1,0.00355,0.0535001,-0.00120003,0.000900021
3591.31,3.87856e+06,314.81,9.34694,-25.2568,1,0.0036,0.0535001,-0.00120003,0.000900021
