"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
4120.56,4.89579e+06,445.87,-22.463,23.3112,1,0.003,0.0535,0.00150493,0.00210691
2282.16,1.51005e+06,350.316,-31.9655,13.2546,1,0.00305,0.0535,0.00150493,0.00210691
2297.54,1.67239e+06,278.035,-19.7802,4.76203,1,0.0031,0.0535,0.00150493,0.00210691
4496.17,5.19935e+06,320.952,19.8341,21.0094,1,0.00315,0.0535,0.00150493,0.00210691
8757.68,1.07813e+07,694.551,-34.3017,-27.3697,1,0.0032,0.0535,0.00150493,0.00210691
10537,1.30455e+07,607.838,-30.3616,-15.9983,1,0.00325,0.0535,0.00150493,0.00210691
13173.4,2.98713e+07,738.846,-66.9061,89.2858,1,0.0033,0.0535,0.00150493,0.00210691
14254.8,4.10689e+07,833.538,-49.8709,54.4168,1,0.00335,0.0535,0.00150493,0.00210691
11144,1.50187e+07,767.966,55.9934,-27.893,1,0.0034,0.0535,0.00150493,0.00210691
10288.4,1.21674e+07,771.004,1.33584,46.098,1,0.00345,0.0535,0.00150493,0.00210691
9008.23,1.01734e+07,701.865,-16.0634,10.2467,1,0.0035,0.0535,0.00150493,0.00210691
5589.61,6.64325e+06,465.705,39.3087,22.8896,1,0.00355,0.0535,0.00150493,0.00210691
11567.2,1.69984e+07,648.834,-7.66625,-6.09429,1,0.0036,0.0535,0.00150493,0.00210691
