"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
1979.53,1.34649e+06,150.319,8.44771,25.1481,1,0.003,0.0534877,0.00282911,0.00282676
960.524,461078,141.422,4.14242,18.6832,1,0.00305,0.0534877,0.00282911,0.00282676
1995.33,1.21348e+06,220.645,-11.3885,41.8361,1,0.0031,0.0534877,0.00282911,0.00282676
841.914,378218,113.155,15.2932,2.84815,1,0.00315,0.0534877,0.00282911,0.00282676
758.983,320411,135.88,11.095,9.06478,1,0.0032,0.0534877,0.00282911,0.00282676
3030.73,2.58481e+06,142.645,8.2026,4.38956,1,0.00325,0.0534877,0.00282911,0.00282676
2611.86,1.82078e+06,174.64,0.817409,19.1859,1,0.0033,0.0534877,0.00282911,0.00282676
2427.86,1.63004e+06,94.668,-6.5715,16.7889,1,0.00335,0.0534877,0.00282911,0.00282676
4119.81,5.24568e+06,278.722,28.6247,14.0977,1,0.0034,0.0534877,0.00282911,0.00282676
6653.79,7.59786e+06,362.673,20.7679,31.4208,1,0.00345,0.0534877,0.00282911,0.00282676
2641.28,1.85727e+06,172.969,14.2237,4.0034,1,0.0035,0.0534877,0.00282911,0.00282676
6098.76,7.15168e+06,317.039,-25.9789,71.2241,1,0.00355,0.0534877,0.00282911,0.00282676
6321.46,7.33024e+06,241.772,9.96004,13.0696,1,0.0036,0.0534877,0.00282911,0.00282676
