"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
11421.6,1.64749e+07,732.571,22.6819,39.5414,1,0.003,0.0535001,-0.000899996,-0.000599997
12246.1,2.08254e+07,931.198,44.2743,-31.8282,1,0.00305,0.0535001,-0.000899996,-0.000599997
10239.4,1.21226e+07,612.911,17.4331,-107.753,1,0.0031,0.0535001,-0.000899996,-0.000599997
7733.78,8.61222e+06,534.224,14.1963,-26.926,1,0.00315,0.0535001,-0.000899996,-0.000599997
7807.23,9.28307e+06,483.844,13.8754,-45.9814,1,0.0032,0.0535001,-0.000899996,-0.000599997
12868.2,2.618e+07,726.474,26.8453,-10.1359,1,0.00325,0.0535001,-0.000899996,-0.000599997
13250.7,2.94475e+07,909.32,29.7163,40.4072,1,0.0033,0.0535001,-0.000899996,-0.000599997
3486.27,3.67067e+06,410.816,34.9783,1.6534,1,0.00335,0.0535001,-0.000899996,-0.000599997
1604.96,924783,297.298,5.50991,-16.8434,1,0.0034,0.0535001,-0.000899996,-0.000599997
11301.9,1.55731e+07,816.066,-24.2049,16.7449,1,0.00345,0.0535001,-0.000899996,-0.000599997
9594.34,1.07993e+07,711.305,-75.9901,-34.6404,1,0.0035,0.0535001,-0.000899996,-0.000599997
12370.3,2.20849e+07,749.083,-53.9112,-17.0299,1,0.00355,0.0535001,-0.000899996,-0.000599997
10869,1.40969e+07,539.309,-56.8834,-46.5732,1,0.0036,0.0535001,-0.000899996,-0.000599997
