"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
4259.31,4.91821e+06,310.06,4.66106,-8.05667,1,0.003,0.0535,-0.00183064,-0.00305567
3318.46,3.20911e+06,387.431,14.7432,-26.8236,1,0.00305,0.0535,-0.00183064,-0.00305567
4097.72,4.57724e+06,250.845,-15.4836,17.8652,1,0.0031,0.0535,-0.00183064,-0.00305567
4853.98,6.06049e+06,413.853,-71.1711,-11.2756,1,0.00315,0.0535,-0.00183064,-0.00305567
7073.6,8.09794e+06,592.911,-0.993581,-63.3831,1,0.0032,0.0535,-0.00183064,-0.00305567
6701.74,7.70578e+06,464.711,9.00845,-34.883,1,0.00325,0.0535,-0.00183064,-0.00305567
5241.19,6.20776e+06,447.618,15.7648,-21.912,1,0.0033,0.0535,-0.00183064,-0.00305567
3280.2,3.09241e+06,349.227,-36.7807,18.2078,1,0.00335,0.0535,-0.00183064,-0.00305567
1589.74,907407,310.748,-48.8687,7.83008,1,0.0034,0.0535,-0.00183064,-0.00305567
760.998,321814,231.603,-18.1883,4.15747,1,0.00345,0.0535,-0.00183064,-0.00305567
2209.29,1.63619e+06,196.759,22.3567,-19.4503,1,0.0035,0.0535,-0.00183064,-0.00305567
3951.01,4.38854e+06,304.416,15.648,-8.43744,1,0.00355,0.0535,-0.00183064,-0.00305567
9269.5,1.06765e+07,448.612,15.993,-31.2536,1,0.0036,0.0535,-0.00183064,-0.00305567
