"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
10233.2,1.29978e+07,656.186,-0.835816,-7.42759,1,0.003,0.0535,0.00120226,-0.00210402
10783.7,1.43469e+07,788.218,21.0513,7.46485,1,0.00305,0.0535,0.00120226,-0.00210402
11780.6,1.78587e+07,698.855,52.7296,-65.855,1,0.0031,0.0535,0.00120226,-0.00210402
8296.81,9.04116e+06,610.901,17.8334,-38.3322,1,0.00315,0.0535,0.00120226,-0.00210402
13241.2,2.93294e+07,882.96,32.3735,-77.3024,1,0.0032,0.0535,0.00120226,-0.00210402
11330.4,1.57578e+07,628.805,-60.3971,-53.8358,1,0.00325,0.0535,0.00120226,-0.00210402
13528.2,3.28968e+07,794.884,-127.861,-59.1897,1,0.0033,0.0535,0.00120226,-0.00210402
10093.4,1.18094e+07,581.2,-79.9624,-47.2975,1,0.00335,0.0535,0.00120226,-0.00210402
8857.87,9.75207e+06,617.47,120.176,-42.3225,1,0.0034,0.0535,0.00120226,-0.00210402
8516.28,9.85503e+06,573.449,128.832,100.85,1,0.00345,0.0535,0.00120226,-0.00210402
849.633,384312,220.068,-3.16605,12.5715,1,0.0035,0.0535,0.00120226,-0.00210402
958.367,461296,217.171,2.62773,8.06862,1,0.00355,0.0535,0.00120226,-0.00210402
1174.61,612904,195.091,5.53387,10.8007,1,0.0036,0.0535,0.00120226,-0.00210402
