"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
4619.72,5.63173e+06,472.369,-5.03104,46.9492,1,0.003,0.0535,0.00180033,-0.000600137
12212.9,2.07592e+07,888.081,-11.6469,84.3088,1,0.00305,0.0535,0.00180033,-0.000600137
11783.9,1.7874e+07,697.936,106.703,33.7447,1,0.0031,0.0535,0.00180033,-0.000600137
3294.16,3.13726e+06,334.42,2.64871,-36.8664,1,0.00315,0.0535,0.00180033,-0.000600137
9263.33,1.0396e+07,709.099,-30.5723,6.01428,1,0.0032,0.0535,0.00180033,-0.000600137
13427.7,3.2119e+07,736.03,-12.1307,-86.8012,1,0.00325,0.0535,0.00180033,-0.000600137
15299.4,5.42172e+07,1026.12,42.4078,-98.3541,1,0.0033,0.0535,0.00180033,-0.000600137
12717.3,2.45178e+07,788.836,16.0302,-24.521,1,0.00335,0.0535,0.00180033,-0.000600137
10969.6,1.45768e+07,761.136,27.7774,54.0864,1,0.0034,0.0535,0.00180033,-0.000600137
5118.03,6.27172e+06,472.147,9.89537,57.6003,1,0.00345,0.0535,0.00180033,-0.000600137
4536.29,5.54329e+06,497.942,-3.37495,4.94519,1,0.0035,0.0535,0.00180033,-0.000600137
7915.1,8.83783e+06,528.188,-21.9749,31.1537,1,0.00355,0.0535,0.00180033,-0.000600137
5605.07,6.70179e+06,384.265,-15.7892,21.9455,1,0.0036,0.0535,0.00180033,-0.000600137
