"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
10097.4,1.32989e+07,659.709,-9.58204,33.8737,1,0.003,0.0535,0.00120033,-0.00150043
12204.4,2.08863e+07,900.274,38.3524,43.6201,1,0.00305,0.0535,0.00120033,-0.00150043
11832.9,1.81486e+07,667.88,169.486,-44.3937,1,0.0031,0.0535,0.00120033,-0.00150043
5860.2,6.95322e+06,434.265,14.0422,-60.7869,1,0.00315,0.0535,0.00120033,-0.00150043
12266.6,2.10299e+07,832.744,-25.9628,-69.0827,1,0.0032,0.0535,0.00120033,-0.00150043
12699.2,2.50835e+07,659.039,-96.0389,-80.3123,1,0.00325,0.0535,0.00120033,-0.00150043
15373.5,5.50953e+07,1016.98,-130.896,-100.802,1,0.0033,0.0535,0.00120033,-0.00150043
11156.8,1.50563e+07,678.129,-51.8449,-17.5525,1,0.00335,0.0535,0.00120033,-0.00150043
11053.9,1.4764e+07,722.526,122.588,-9.33986,1,0.0034,0.0535,0.00120033,-0.00150043
9664.29,1.10927e+07,674.051,115.071,123.889,1,0.00345,0.0535,0.00120033,-0.00150043
2063.61,1.38838e+06,256.199,13.8821,8.95752,1,0.0035,0.0535,0.00120033,-0.00150043
5035.07,5.90895e+06,446.94,-12.3451,22.4745,1,0.00355,0.0535,0.00120033,-0.00150043
3041.69,2.58531e+06,272.627,-4.83743,11.3235,1,0.0036,0.0535,0.00120033,-0.00150043
