"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
2456.63,1.78656e+06,278.778,-3.77468,8.59848,1,0.003,0.0535,0.00273075,0.00151637
3183.65,3.02297e+06,402.371,-19.9492,17.7519,1,0.00305,0.0535,0.00273075,0.00151637
3640.51,4.00611e+06,386.559,-20.0136,69.1779,1,0.0031,0.0535,0.00273075,0.00151637
655.648,248479,177.172,8.28316,-18.3907,1,0.00315,0.0535,0.00273075,0.00151637
548.617,173973,177.809,-1.71539,0.649848,1,0.0032,0.0535,0.00273075,0.00151637
2244.08,1.73655e+06,225.468,7.03436,4.87478,1,0.00325,0.0535,0.00273075,0.00151637
5917.39,6.77855e+06,290.698,-8.17236,27.4756,1,0.0033,0.0535,0.00273075,0.00151637
9364.91,1.18546e+07,335.285,-17.8098,1.07077,1,0.00335,0.0535,0.00273075,0.00151637
7463.63,8.30634e+06,665.755,21.6097,-25.1891,1,0.0034,0.0535,0.00273075,0.00151637
8960.83,9.85296e+06,697.211,25.7575,78.0219,1,0.00345,0.0535,0.00273075,0.00151637
6723.48,7.69358e+06,567.815,27.9016,-4.68087,1,0.0035,0.0535,0.00273075,0.00151637
11607.5,1.71293e+07,741.435,58.6195,48.1529,1,0.00355,0.0535,0.00273075,0.00151637
12231,2.07419e+07,656.863,44.5128,7.21285,1,0.0036,0.0535,0.00273075,0.00151637
