0.00E+00 1.00E+00 1.00E-01
5.00E+00 7.23E+00 1.14E+00
1.00E+01 6.56E+00 1.27E+00
2.00E+01 4.90E+00 8.61E-01
3.00E+01 4.86E+00 6.23E-01
4.00E+01 4.58E+00 8.37E-01
5.00E+01 4.33E+00 5.62E-01
6.00E+01 3.26E+00 5.51E-01
7.00E+01 3.01E+00 3.13E-01
8.00E+01 2.42E+00 3.06E-01
9.00E+01 2.43E+00 1.95E-01
1.00E+02 2.43E+00 5.00E+00
0.00E+00 1.00E+00 1.00E-01
5.00E+00 6.46E+00 2.21E+00
1.00E+01 2.03E+01 2.49E+00
2.00E+01 5.60E+00 1.22E+00
3.00E+01 3.45E+00 4.50E-01
4.00E+01 3.54E+00 2.91E-01
5.00E+01 3.15E+00 7.13E-01
6.00E+01 3.36E+00 5.66E-01
7.00E+01 3.14E+00 9.90E-01
8.00E+01 2.95E+00 9.71E-01
9.00E+01 2.23E+00 8.63E-01
1.00E+02 2.23E+00 5.00E+00
0.00E+00 1.00E+00 1.00E-01
5.00E+00 1.00E+01 6.49E-01
1.00E+01 1.25E+01 1.33E+00
2.00E+01 1.32E+01 1.10E+00
3.00E+01 1.02E+01 8.32E-01
4.00E+01 8.25E+00 2.80E-01
5.00E+01 8.35E+00 7.22E-01
6.00E+01 7.07E+00 6.19E-01
7.00E+01 6.44E+00 5.77E-01
8.00E+01 6.46E+00 8.24E-01
9.00E+01 6.20E+00 4.09E-01
1.00E+02 6.20E+00 5.00E+00
0.00E+00 1.00E+00 1.00E-01
5.00E+00 4.86E+00 4.34E-01
1.00E+01 3.74E+01 4.26E+00
2.00E+01 3.19E+01 2.59E+00
3.00E+01 2.25E+01 1.34E+00
4.00E+01 2.00E+01 8.50E-01
5.00E+01 1.81E+01 6.53E-01
6.00E+01 1.82E+01 1.89E+00
7.00E+01 1.83E+01 2.02E+00
8.00E+01 1.86E+01 2.61E+00
9.00E+01 1.89E+01 2.36E+00
1.00E+02 1.89E+01 5.00E+00
0.00E+00 1.00E+00 1.00E-01
5.00E+00 3.30E+00 5.41E-01
1.00E+01 4.72E+00 3.09E-01
2.00E+01 9.82E+00 9.65E-01
3.00E+01 8.97E+00 9.20E-01
4.00E+01 7.78E+00 9.05E-01
5.00E+01 6.88E+00 8.17E-01
6.00E+01 5.70E+00 5.69E-01
7.00E+01 5.19E+00 3.51E-01
8.00E+01 4.64E+00 6.77E-01
9.00E+01 4.01E+00 5.64E-01
1.00E+02 3.06E+00 5.62E-01
0.00E+00 1.00E+00 1.00E-01
5.00E+00 5.48E+00 2.88E+00
1.00E+01 2.99E+01 9.49E-01
2.00E+01 3.41E+01 4.66E+00
3.00E+01 1.59E+01 2.55E+00
4.00E+01 1.74E+01 3.03E+00
5.00E+01 1.85E+01 3.25E+00
6.00E+01 1.83E+01 2.39E+00
7.00E+01 1.89E+01 8.40E-01
8.00E+01 2.06E+01 1.09E+00
9.00E+01 2.12E+01 1.36E+00
1.00E+02 2.14E+01 1.53E+00
0.00E+00 1.00E+00 1.00E-01
5.00E+00 5.64E+00 3.50E-01
1.00E+01 7.22E+00 6.81E-01
2.00E+01 8.51E+00 1.30E+00
3.00E+01 8.22E+00 1.43E+00
4.00E+01 6.62E+00 8.73E-01
5.00E+01 5.24E+00 1.45E-01
6.00E+01 4.60E+00 4.15E-01
7.00E+01 4.42E+00 5.56E-01
8.00E+01 4.13E+00 4.71E-01
9.00E+01 3.81E+00 3.76E-01
1.00E+02 3.84E+00 3.34E-01
0.00E+00 1.00E+00 1.00E-01
5.00E+00 3.38E+00 5.60E-01
1.00E+01 2.07E+01 3.79E+00
2.00E+01 3.51E+01 5.76E+00
3.00E+01 2.86E+01 2.73E+00
4.00E+01 2.60E+01 3.69E+00
5.00E+01 2.67E+01 2.50E+00
6.00E+01 2.57E+01 3.58E+00
7.00E+01 2.57E+01 2.64E+00
8.00E+01 2.44E+01 4.27E+00
9.00E+01 2.23E+01 3.24E+00
1.00E+02 1.94E+01 1.79E+00
